Rule,Predicted_Class,Support,Confidence
(cEntropy <= 0.614) and (OutlierPerc > 0.013) and (skewness.mean > 6.011) and (cEntropy <= 0.273),4,0.0024096385542168677,1.0
(cEntropy <= 0.614) and (OutlierPerc > 0.013) and (skewness.mean > 6.011) and (cEntropy > 0.273) and (mad.mean <= 41.577),0,0.004819277108433735,0.5
(cEntropy <= 0.614) and (OutlierPerc > 0.013) and (skewness.mean > 6.011) and (cEntropy > 0.273) and (mad.mean > 41.577),0,0.004819277108433735,0.5
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr <= 17.500) and (attr_ent.mean <= 1.722) and (ena <= 4.331) and (cor.mean <= 0.129),1,0.004819277108433735,1.0
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr <= 17.500) and (attr_ent.mean <= 1.722) and (ena <= 4.331) and (cor.mean > 0.129) and (iq_range.mean <= 2.569) and (nr_cor_attr <= 0.014) and (sd.mean <= 0.982),1,0.007228915662650603,0.3333333333333333
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr <= 17.500) and (attr_ent.mean <= 1.722) and (ena <= 4.331) and (cor.mean > 0.129) and (iq_range.mean <= 2.569) and (nr_cor_attr <= 0.014) and (sd.mean > 0.982),1,0.007228915662650603,0.3333333333333333
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr <= 17.500) and (attr_ent.mean <= 1.722) and (ena <= 4.331) and (cor.mean > 0.129) and (iq_range.mean <= 2.569) and (nr_cor_attr > 0.014) and (eigenvalues.mean <= 4.601),3,0.007228915662650603,0.3333333333333333
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr <= 17.500) and (attr_ent.mean <= 1.722) and (ena <= 4.331) and (cor.mean > 0.129) and (iq_range.mean <= 2.569) and (nr_cor_attr > 0.014) and (eigenvalues.mean > 4.601),3,0.014457831325301205,0.3333333333333333
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr <= 17.500) and (attr_ent.mean <= 1.722) and (ena <= 4.331) and (cor.mean > 0.129) and (iq_range.mean > 2.569) and (h_mean.mean <= 2.244),4,0.0024096385542168677,1.0
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr <= 17.500) and (attr_ent.mean <= 1.722) and (ena <= 4.331) and (cor.mean > 0.129) and (iq_range.mean > 2.569) and (h_mean.mean > 2.244),0,0.004819277108433735,0.5
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr <= 17.500) and (attr_ent.mean <= 1.722) and (ena > 4.331) and (inst_to_attr <= 19.094),2,0.004819277108433735,0.5
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr <= 17.500) and (attr_ent.mean <= 1.722) and (ena > 4.331) and (inst_to_attr > 19.094) and (Conciseness <= 0.108),7,0.004819277108433735,0.5
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr <= 17.500) and (attr_ent.mean <= 1.722) and (ena > 4.331) and (inst_to_attr > 19.094) and (Conciseness > 0.108),7,0.0024096385542168677,1.0
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr <= 17.500) and (attr_ent.mean > 1.722) and (range.mean <= 3.163) and (ena <= -0.628) and (Conciseness <= 0.010),0,0.007228915662650603,0.3333333333333333
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr <= 17.500) and (attr_ent.mean > 1.722) and (range.mean <= 3.163) and (ena <= -0.628) and (Conciseness > 0.010),2,0.012048192771084338,0.4
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr <= 17.500) and (attr_ent.mean > 1.722) and (range.mean <= 3.163) and (ena > -0.628) and (median.mean <= 0.437) and (ena <= 7.535) and (sparsity.mean <= 0.060),0,0.007228915662650603,0.3333333333333333
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr <= 17.500) and (attr_ent.mean > 1.722) and (range.mean <= 3.163) and (ena > -0.628) and (median.mean <= 0.437) and (ena <= 7.535) and (sparsity.mean > 0.060),0,0.004819277108433735,0.5
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr <= 17.500) and (attr_ent.mean > 1.722) and (range.mean <= 3.163) and (ena > -0.628) and (median.mean <= 0.437) and (ena > 7.535),0,0.007228915662650603,0.3333333333333333
(cEntropy > 0.614) and (mean.mean <= 6.038) and (nr_attr <= 17.500) and (attr_ent.mean > 1.722) and (range.mean <= 3.163) and (ena > -0.628) and (median.mean > 0.437),0,0.004819277108433735,1.0
